id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,GBH,GBD,GBA,BSH,BSD,BSA
1520,1,1,2015/2016,12,10/25/2015 0:00,1979919,9997,8571,1,2,4,6,8,1,3,5,7,9,5,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,7,11,1,3,3,3,3,7,7,7,7,10,10,242243,130738,364779,164323,466480,207603,274456,658786,215415,365245,466589,206592,478112,157375,156693,181312,478447,95614,37065,40520,305214,70959,2.5,3.5,2,2.5,3.5,2.6,2.4,3.3,2.75,2.5,3.2,2.75,2.62,3.38,2.88,2.38,3.2,2.8,NA,NA,NA,2.5,3.4,2.8,NA,NA,NA,NA,NA,NA
1529,1,1,2015/2016,14,11/1/2015 0:00,1979928,8635,274581,1,2,4,6,8,1,3,5,7,9,5,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,7,7,11,1,3,3,3,3,7,7,7,10,10,10,38391,198453,195448,38388,150968,306117,424129,38253,465960,21726,27696,128083,280251,202471,210138,118879,447455,364290,104411,658657,213487,442735,1.2,6.5,13,1.2,5.75,15.5,1.2,5.8,13,1.22,6,12,1.24,6.75,13.7,1.2,6,11,NA,NA,NA,1.2,6.5,13,NA,NA,NA,NA,NA,NA
1531,1,1,2015/2016,14,10/31/2015 0:00,1979930,8203,8475,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,7,10,10,41818,181140,183585,140932,157490,67896,173957,300977,21753,77813,311008,305248,291929,5272,201102,257843,561604,213799,512730,94008,277772,362187,1.53,4.33,5,1.55,4,5.75,1.65,3.6,5.1,1.55,4,5.75,1.58,4.29,6.19,1.6,3.8,5,NA,NA,NA,1.55,4.2,5.75,NA,NA,NA,NA,NA,NA
1533,1,1,2015/2016,14,10/31/2015 0:00,1979932,9986,8573,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10,214340,110878,33605,178261,46458,39578,181054,179059,521204,17703,170316,107806,95615,30918,149334,173462,418105,201811,38365,265123,38440,166302,2.1,3.5,3,2.2,3.4,3.1,2.2,3.3,3.1,2.1,3.3,3.4,2.15,3.54,3.61,2.15,3.3,3.1,NA,NA,NA,2.1,3.5,3.4,NA,NA,NA,NA,NA,NA
1535,1,1,2015/2016,14,10/31/2015 0:00,1979934,10001,8342,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10,346114,179241,538333,306731,27412,209782,212863,38323,212598,168232,42706,104384,277771,305132,209922,465730,114688,203666,26440,315459,38782,201915,5,4,1,4.75,3.9,1.65,5,3.9,1.6,4.75,4,1.62,5.45,4.29,1.65,4.8,3.8,1.62,NA,NA,NA,5,4.2,1.62,NA,NA,NA,NA,NA,NA
1536,1,1,2015/2016,14,11/1/2015 0:00,1979935,9997,9985,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,10,10,10,242243,130738,164323,210392,466480,613260,215415,207603,274456,658786,365245,279874,277848,33620,171338,119117,242719,111787,659463,166917,303334,202562,3.4,3.5,2,3.25,3.5,2.1,3.3,3.3,2.1,3.2,3.5,2.15,3.46,3.68,2.15,3,3.4,2.15,NA,NA,NA,3.2,3.6,2.15,NA,NA,NA,NA,NA,NA
1553,1,1,2015/2016,17,11/29/2015 0:00,1979952,8635,1773,1,6,2,4,8,4,5,7,6,3,5,1,2,4,6,8,4,7,6,3,5,5,1,3,3,3,3,6,8,8,6,8,11,1,3,3,3,3,6,8,6,8,8,11,38391,178758,38253,195448,154867,424129,282012,46552,39631,306117,179402,11336,280134,179783,NA,36849,26078,318615,105680,38777,280968,15938,1.25,6,10,1.25,6,10,1.25,5.5,10.3,1.25,6,9.5,1.27,6.87,11.25,1.29,5.5,8,NA,NA,NA,1.29,5.75,10,NA,NA,NA,NA,NA,NA
1556,1,1,2015/2016,17,11/27/2015 0:00,1979955,10000,9985,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10,37900,154276,289883,563215,303179,298665,26613,26916,39145,46335,299358,279874,119117,171338,277848,244904,242719,424391,111787,202562,167057,38378,2.6,3.3,2,2.6,3.4,2.55,2.75,3.3,2.4,2.5,3.4,2.62,2.63,3.55,2.75,2.5,3.3,2.6,NA,NA,NA,2.55,3.5,2.7,NA,NA,NA,NA,NA,NA
1562,1,1,2015/2016,18,12/4/2015 0:00,1979961,9991,10000,1,1,3,5,7,9,3,5,7,4,6,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,3,7,7,7,10,10,1,3,3,3,3,7,7,7,10,10,10,181069,49451,196203,71898,346142,173449,40521,67958,577045,282671,467486,37900,289883,46232,346111,303179,563215,26613,26916,299358,46335,38262,1.44,4.75,6,1.44,4.6,6.25,1.4,4.4,7.3,1.5,4.33,6,1.51,4.69,6.74,1.44,4.33,6,NA,NA,NA,1.45,4.75,6.5,NA,NA,NA,NA,NA,NA
1570,1,1,2015/2016,19,12/13/2015 0:00,1979969,9985,8342,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10,279874,174054,171338,203755,33620,242719,111787,166917,38378,167057,202562,104384,277771,209922,305132,465730,109061,203666,114688,201915,38782,14557,3.2,3.4,2,3,3.4,2.25,2.9,3.3,2.3,3.1,3.4,2.25,3.2,3.62,2.29,2.88,3.4,2.25,NA,NA,NA,3.1,3.5,2.25,NA,NA,NA,NA,NA,NA
